computer,computerLabel
http://www.wikidata.org/entity/Q8047,enzyme
http://www.wikidata.org/entity/Q24190,Neurotrophin 3
http://www.wikidata.org/entity/Q28749,Low-density lipoprotein
http://www.wikidata.org/entity/Q29630,Myostatin
http://www.wikidata.org/entity/Q29725,vascular endothelial growth factor
http://www.wikidata.org/entity/Q30530,Histidine ammonia-lyase
http://www.wikidata.org/entity/Q32933,CRAL-TRIO domain
http://www.wikidata.org/entity/Q33102,PX domain
http://www.wikidata.org/entity/Q36293,histone
http://www.wikidata.org/entity/Q36626,PAS domain
http://www.wikidata.org/entity/Q47051,prion
http://www.wikidata.org/entity/Q48381,Vomeronasal receptor
http://www.wikidata.org/entity/Q58345,Laminin
http://www.wikidata.org/entity/Q63398,Chromogranin B
http://www.wikidata.org/entity/Q74314,Titin
http://www.wikidata.org/entity/Q74581,Growth differentiation factor 15
http://www.wikidata.org/entity/Q79460,antibody
http://www.wikidata.org/entity/Q92594,Opsin 4
http://www.wikidata.org/entity/Q94307,Thiopurine S-methyltransferase
http://www.wikidata.org/entity/Q116672,immunophilins
http://www.wikidata.org/entity/Q123045,Brain derived neurotrophic factor
http://www.wikidata.org/entity/Q125535,Immunoevasin
http://www.wikidata.org/entity/Q128861,Angiotensin I converting enzyme
http://www.wikidata.org/entity/Q133582,Macrophage migration inhibitory factor
http://www.wikidata.org/entity/Q141591,ATM serine/threonine kinase
http://www.wikidata.org/entity/Q151233,Hemojuvelin BMP co-receptor
http://www.wikidata.org/entity/Q155750,Aryl hydrocarbon receptor
http://www.wikidata.org/entity/Q161537,"1,4-alpha-glucan branching enzyme 1"
http://www.wikidata.org/entity/Q166726,Myogenin
http://www.wikidata.org/entity/Q166774,protease inhibitor
http://www.wikidata.org/entity/Q168294,Zbtb7
http://www.wikidata.org/entity/Q170617,Glucagon
http://www.wikidata.org/entity/Q171604,Hydroxysteroid 11-beta dehydrogenase 1
http://www.wikidata.org/entity/Q174378,Histone deacetylase
http://www.wikidata.org/entity/Q175950,sulfotransferase
http://www.wikidata.org/entity/Q179145,Chlorocruorin
http://www.wikidata.org/entity/Q180583,PNMA family member 2
http://www.wikidata.org/entity/Q182506,Envelope glycoprotein GP120
http://www.wikidata.org/entity/Q183119,Bacteriocin
http://www.wikidata.org/entity/Q185269,actin
http://www.wikidata.org/entity/Q187126,glycoprotein
http://www.wikidata.org/entity/Q187526,melanin
http://www.wikidata.org/entity/Q187637,cell adhesion molecule
http://www.wikidata.org/entity/Q188251,gluten
http://www.wikidata.org/entity/Q189115,FtsZ
http://www.wikidata.org/entity/Q190199,growth hormone
http://www.wikidata.org/entity/Q192191,Prolactin
http://www.wikidata.org/entity/Q192642,Myoglobin
http://www.wikidata.org/entity/Q193970,casein
http://www.wikidata.org/entity/Q202476,Parathyroid hormone
http://www.wikidata.org/entity/Q205042,Atypical chemokine receptor 1 (Duffy blood group)
http://www.wikidata.org/entity/Q205986,Proteolipid protein 1
http://www.wikidata.org/entity/Q208467,biochemical receptor
http://www.wikidata.org/entity/Q210430,Phospholipase
http://www.wikidata.org/entity/Q212354,cytokine
http://www.wikidata.org/entity/Q218706,Erythropoietin
http://www.wikidata.org/entity/Q223084,"3-hydroxyanthranilate 3,4-dioxygenase"
http://www.wikidata.org/entity/Q223739,Leptin
http://www.wikidata.org/entity/Q224450,Bisphosphoglycerate mutase
http://www.wikidata.org/entity/Q227241,Forkhead box P2
http://www.wikidata.org/entity/Q245741,Zymase
http://www.wikidata.org/entity/Q246978,Pancreatic polypeptide
http://www.wikidata.org/entity/Q254943,Retinoic acid receptor alpha
http://www.wikidata.org/entity/Q258658,protein precursor
http://www.wikidata.org/entity/Q258915,Renin
http://www.wikidata.org/entity/Q259292,7-dehydrocholesterol reductase
http://www.wikidata.org/entity/Q261400,Troponin T
http://www.wikidata.org/entity/Q261483,Drosha ribonuclease III
http://www.wikidata.org/entity/Q267200,Angiotensinogen
http://www.wikidata.org/entity/Q272983,green fluorescent protein
http://www.wikidata.org/entity/Q278436,Delta atracotoxin
http://www.wikidata.org/entity/Q279694,SNARE proteins
http://www.wikidata.org/entity/Q283350,Tumor protein p53
http://www.wikidata.org/entity/Q285613,Mechanistic target of rapamycin kinase
http://www.wikidata.org/entity/Q287896,Beta-2-microglobulin
http://www.wikidata.org/entity/Q287958,Adrenoceptor beta 1
http://www.wikidata.org/entity/Q287961,Adrenoceptor beta 2
http://www.wikidata.org/entity/Q288084,Alpha-2 adrenergic receptor
http://www.wikidata.org/entity/Q288382,Histamine receptor H4
http://www.wikidata.org/entity/Q288395,Histamine receptor H3
http://www.wikidata.org/entity/Q288431,Glutamate metabotropic receptor 1
http://www.wikidata.org/entity/Q288591,Synuclein alpha
http://www.wikidata.org/entity/Q288705,Galactosidase alpha
http://www.wikidata.org/entity/Q288797,5-hydroxytryptamine receptor 1B
http://www.wikidata.org/entity/Q290049,A disintegrin and metalloproteinase
http://www.wikidata.org/entity/Q290293,Peptide YY
http://www.wikidata.org/entity/Q292982,Serpin family A member 1
http://www.wikidata.org/entity/Q296209,Apolipoprotein B mRNA editing enzyme catalytic subunit 3G
http://www.wikidata.org/entity/Q301630,Angiotensin I converting enzyme 2
http://www.wikidata.org/entity/Q302495,Natriuretic peptide A
http://www.wikidata.org/entity/Q304956,Collagenase
http://www.wikidata.org/entity/Q306076,Alpha fetoprotein
http://www.wikidata.org/entity/Q308856,Dopamine receptor D4
http://www.wikidata.org/entity/Q309513,Histamine receptor H1
http://www.wikidata.org/entity/Q311568,Histamine receptor H2
http://www.wikidata.org/entity/Q315860,Calcitonin related polypeptide alpha
http://www.wikidata.org/entity/Q318896,Gonadotropin releasing hormone 1
http://www.wikidata.org/entity/Q321710,globulin
http://www.wikidata.org/entity/Q335669,"EGF like, fibronectin type III and laminin G domains"
http://www.wikidata.org/entity/Q336500,Melanocyte inducing transcription factor
