computer,computerLabel
http://www.wikidata.org/entity/Q80726,allele
http://www.wikidata.org/entity/Q139677,operon
http://www.wikidata.org/entity/Q207609,oncogene
http://www.wikidata.org/entity/Q253149,Hox gene
http://www.wikidata.org/entity/Q277338,pseudogene
http://www.wikidata.org/entity/Q410820,Gap gene
http://www.wikidata.org/entity/Q422445,tumor suppressor gene
http://www.wikidata.org/entity/Q426365,polygene
http://www.wikidata.org/entity/Q911828,Reporter gene
http://www.wikidata.org/entity/Q1225660,dilution gene
http://www.wikidata.org/entity/Q3311663,Suicide gene
http://www.wikidata.org/entity/Q5009845,CD85
http://www.wikidata.org/entity/Q5512829,GAI
http://www.wikidata.org/entity/Q5971015,IGHV@
http://www.wikidata.org/entity/Q6917085,motility protein B b1889
http://www.wikidata.org/entity/Q7113764,overlapping gene
http://www.wikidata.org/entity/Q7125117,Pair-rule gene
http://www.wikidata.org/entity/Q7371221,Roundabout
http://www.wikidata.org/entity/Q7394887,STX6
http://www.wikidata.org/entity/Q7643834,Superman
http://www.wikidata.org/entity/Q14865261,PNLIP
http://www.wikidata.org/entity/Q17149838,Uncharacterized LOC644249 gene
http://www.wikidata.org/entity/Q17915116,DYX1
http://www.wikidata.org/entity/Q18032037,TNF
http://www.wikidata.org/entity/Q18250887,6-phosphogluconate dehydrogenase CT_063
http://www.wikidata.org/entity/Q18669230,nonallelic gene
http://www.wikidata.org/entity/Q18968232,VAR
http://www.wikidata.org/entity/Q19818651,bcd
http://www.wikidata.org/entity/Q20747295,protein-coding gene
http://www.wikidata.org/entity/Q20751133,major outer membrane porin CT_681
http://www.wikidata.org/entity/Q20764380,DEL22Q11.2
http://www.wikidata.org/entity/Q20797449,translocated actin-recruiting phosphoprotein CTL0716
http://www.wikidata.org/entity/Q21028318,Holliday junction DNA helicase RuvB CT_040
http://www.wikidata.org/entity/Q21065400,ferredoxin CTL0315
http://www.wikidata.org/entity/Q21065402,tyrosine--tRNA ligase CTL0318
http://www.wikidata.org/entity/Q21065405,preprotein translocase SecA CT_141
http://www.wikidata.org/entity/Q21094574,phospholipase CT_157
http://www.wikidata.org/entity/Q21094576,A/G-specific adenine glycosylase CT_107
http://www.wikidata.org/entity/Q21094577,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase CT_078"
http://www.wikidata.org/entity/Q21094578,hypothetical protein CT_081
http://www.wikidata.org/entity/Q21094580,hypothetical protein CT_083
http://www.wikidata.org/entity/Q21094581,low calcium response protein D CTL0345
http://www.wikidata.org/entity/Q21094582,ribosome-binding factor A CTL0350
http://www.wikidata.org/entity/Q21094584,release factor glutamine methyltransferase CT_024
http://www.wikidata.org/entity/Q21094586,holo-[acyl-carrier-protein] synthase CT_100
http://www.wikidata.org/entity/Q21094587,hypothetical protein CT_165
http://www.wikidata.org/entity/Q21094589,50S ribosomal protein L25/general stress protein Ctc CT_799
http://www.wikidata.org/entity/Q21094590,hypothetical protein CT_435
http://www.wikidata.org/entity/Q21094591,hypothetical protein CT_449
http://www.wikidata.org/entity/Q21094592,transcriptional regulator CT_457
